"SQGDP2 Gross domestic product (GDP) by state 1/"
"Gross domestic product (GDP) by state: All industry total (Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3"
"23000","Maine",45234.2,45521.8,45954.9,46768.3,47253.9,47917.7,48108.9,48437.4,48386.1,49176.2,49509.5,49581.7,49720.1,49969.0,50286.9,49937.9,49811.5,50253.3,50845.2,51361.6,51259.3,51728.8,52152.8,51756.5,51508.4,51542.1,51793.1,52624.7,52649.9,53337.7,53070.5,52408.4,53489.2,53095.0,53641.4,54457.3,54554.0,55471.2,56221.5,57059.9,56325.1,57363.6,57904.8,58645.8,58755.6,59836.2,59843.9,60581.2,61020.3,61157.7,61933.7,62574.3,63598.6,64507.4,64995.8,65126.3,66662.1,67053.4,68167.9,68984.9,68319.2,61496.3,67129.3
"24000","Maryland",259044.9,263052.5,269494.9,272668.6,275421.5,277675.3,280825.6,283772.0,283765.7,287900.8,288588.6,290783.6,293977.0,296036.6,296997.9,298290.4,298377.7,300551.3,303310.5,307315.6,311043.1,314490.9,317263.8,322469.8,321950.7,327053.6,329863.2,332039.3,334409.9,333230.8,336692.4,333889.1,338703.8,337802.0,341311.7,345007.3,345048.7,351905.1,357580.6,358460.2,365416.0,368105.1,372846.3,376705.7,380781.8,385535.7,389529.7,394633.6,394865.6,397163.8,400846.8,406074.3,407009.1,411435.9,412642.5,415388.7,420722.0,424620.3,428649.7,432997.8,431771.8,398609.3,427615.8
"25000","Massachusetts",340824.8,343220.4,348822.6,351471.1,356068.2,360041.3,360893.9,369625.8,372568.3,377318.5,383362.1,387904.9,387542.6,390436.6,388171.7,386248.9,388052.5,388753.2,391999.0,396287.1,400463.7,407645.4,415060.9,417579.9,413669.6,429282.8,426376.6,434723.9,437828.4,444168.0,447822.7,448093.5,449888.6,451848.0,458003.4,462873.2,459362.9,466732.2,477926.9,488185.9,494016.2,502894.5,504730.8,511072.3,510237.3,516584.3,523872.5,525880.1,529268.8,535680.1,544012.4,550932.2,560332.5,569485.9,573514.9,578523.3,588307.9,594309.9,600545.0,603209.6,600740.0,546546.3,590307.1
"26000","Michigan",392779.0,394518.2,393639.7,395627.7,392685.4,396095.6,396853.7,397106.3,404359.5,405307.7,406279.7,398922.5,390724.9,388665.9,384010.2,380560.2,360288.8,363500.4,365447.4,372974.2,372453.3,385499.8,394685.2,393880.8,395569.9,396156.5,400383.9,412166.2,413822.9,417779.8,421115.8,422250.5,430066.4,430835.4,435196.7,438924.8,436998.6,446641.5,453505.9,457142.3,464232.0,471942.1,477047.8,479375.8,480237.0,489301.1,489924.3,496388.0,497305.8,499695.3,501958.2,508700.5,516287.9,521167.4,523755.7,526002.6,529751.0,533726.8,540585.8,543489.4,535152.9,475493.9,524828.2
"27000","Minnesota",238951.5,240692.3,246714.2,245921.7,247968.9,251550.4,249640.4,251466.6,254042.3,259503.6,260567.2,263071.7,263718.8,264111.0,268771.4,262864.4,258769.5,258593.2,259564.7,265125.0,264652.7,269437.2,274333.7,282120.5,279666.7,286713.0,286594.2,288658.5,293357.8,294966.6,297946.0,298819.5,303223.2,305570.3,311857.2,314487.4,314781.9,321852.9,327061.8,327064.4,330675.4,331184.4,334007.5,336395.9,335237.9,338661.8,344990.0,347895.7,352479.0,351890.9,351763.0,357532.6,365203.0,371278.6,374310.0,376927.0,378234.2,381618.1,385752.1,389503.7,384500.3,348033.8,379388.3
"28000","Mississippi",79326.0,79874.3,81143.7,84554.2,83850.6,85808.6,86718.2,87880.5,88806.6,89800.1,92118.5,94152.8,95676.1,97839.1,97795.7,96373.5,94502.7,93524.5,92857.7,93126.7,94060.3,95232.8,95867.3,95901.5,95272.5,95941.4,96636.0,97782.6,99993.6,100201.3,99709.7,98560.8,101379.9,100047.1,102703.8,101766.1,101720.1,104109.0,103935.2,104314.8,104439.6,105403.9,106072.6,105795.4,106324.4,106289.6,106205.8,107151.7,108931.0,108580.8,109489.0,110723.7,111861.5,113782.8,113936.3,114733.4,114562.6,115174.6,116505.7,117642.3,117099.2,105681.0,115899.8
"29000","Missouri",221303.2,223832.7,226299.8,228920.4,230341.8,233748.5,233128.7,234406.1,233924.9,239386.2,242522.8,245733.5,246382.1,251977.5,250509.3,257897.6,250833.3,249900.5,251613.0,253263.5,255960.7,257702.2,258895.8,259030.8,256312.6,258670.2,260472.4,263124.9,267144.6,268789.5,269110.9,270402.8,276543.9,276003.3,277510.4,279519.4,276629.8,282380.8,287389.4,290549.0,292034.2,294230.0,295812.5,293676.7,295818.9,296803.4,297307.9,301080.3,300747.0,304106.4,306465.5,310566.7,312700.4,318559.4,319406.8,321129.7,324813.1,326229.7,329899.7,332659.7,330286.5,299130.6,325841.3
"30000","Montana",29781.1,29973.5,30693.6,31663.6,31885.8,32561.3,33415.7,34005.4,35160.4,36032.6,36330.1,36839.8,36790.9,37123.0,37157.5,36186.4,35950.5,35622.4,36164.7,36389.5,37690.4,37767.6,38162.2,38792.7,39725.8,40378.0,40721.8,41640.1,41924.8,41755.9,42135.0,42350.6,43025.0,42978.2,43259.9,43284.2,43613.3,44534.2,44993.7,45292.5,46061.1,46648.2,46689.4,45678.6,45346.9,45186.4,45562.2,46625.8,47227.2,48047.6,48086.5,48426.1,49821.3,50637.3,50716.4,51594.2,51910.8,52442.3,53350.6,54034.7,53284.7,47721.4,51933.5
"31000","Nebraska",72359.4,73325.2,74612.3,76183.1,76197.7,79284.7,78292.8,79357.2,81977.8,82635.3,83264.4,85320.9,85112.2,86856.1,86569.6,84107.4,86576.6,85837.0,86826.0,89189.8,89019.5,91492.3,92663.9,93966.2,98590.1,99257.8,99801.1,102167.6,100914.4,103089.0,102659.7,103758.1,107081.3,106224.4,106591.6,106170.0,108975.4,111826.7,111760.6,112984.6,114443.4,115901.9,116458.6,115851.8,114780.7,115866.7,117287.7,119581.8,119240.9,120913.0,121249.2,122395.8,123874.5,124474.0,124122.7,126350.2,126562.5,128850.5,131433.2,133201.0,132719.5,119692.3,129761.5
"32000","Nevada",112583.7,116954.3,118096.4,120589.8,124261.8,127134.0,127411.3,129226.2,129899.4,130293.2,131678.9,134098.7,130740.2,129503.3,129600.3,126538.1,123003.3,120580.0,119663.4,120704.0,121317.9,123109.5,124703.1,125478.6,124743.6,127639.6,126986.0,127333.1,128054.9,127854.2,127883.1,127364.1,129759.5,129408.6,130925.5,132652.9,132157.9,133269.5,135056.4,137589.7,139751.9,143247.0,144812.6,146404.5,146595.5,148310.2,153274.2,152969.0,156116.5,157310.6,160118.7,160465.4,165749.2,167903.1,169764.1,173301.9,174546.7,176843.8,179655.6,181751.6,180034.0,156421.3,175509.0
