"SQGDP2 Gross domestic product (GDP) by state 1/"
"(millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2005:Q1","2005:Q2","2005:Q3","2005:Q4","2006:Q1","2006:Q2","2006:Q3","2006:Q4","2007:Q1","2007:Q2","2007:Q3","2007:Q4","2008:Q1","2008:Q2","2008:Q3","2008:Q4","2009:Q1","2009:Q2","2009:Q3","2009:Q4","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3"
"00000","United States *","76","      Arts, entertainment, and recreation",118898.0,121125.0,123750.0,125094.0,128828.0,130459.0,130014.0,132615.0,135353.0,136258.0,138282.0,139752.0,140356.0,141806.0,143541.0,147028.0,144216.0,143303.0,145380.0,145649.0,148178.0,151447.0,153054.0,156307.0,155514.0,158168.0,161030.0,158534.0,167628.0,170062.0,171963.0,175280.0,174542.0,175154.0,177741.0,182161.0,185867.0,188750.0,191319.0,190490.0,190729.0,192364.0,194006.0,196774.0,201294.0,204018.0,210065.0,212487.0,211750.0,213606.0,220926.0,219105.0,221058.0,230664.0,231194.0,231872.0,234285.0,236301.0,240408.0,243460.0,227341.0,98234.0,137142.0
"00000","United States *","79","      Accommodation and food services",352841.0,356440.0,361382.0,365420.0,376484.0,379250.0,381574.0,386923.0,391622.0,393275.0,397031.0,402444.0,398693.0,399772.0,401334.0,398355.0,388506.0,387128.0,388576.0,390367.0,393922.0,402116.0,407385.0,410771.0,413924.0,420615.0,424376.0,431505.0,444356.0,447756.0,450399.0,457998.0,467526.0,470313.0,476418.0,481455.0,483393.0,496861.0,509627.0,519107.0,537329.0,549116.0,559447.0,567325.0,573101.0,577807.0,584249.0,589939.0,598716.0,605472.0,611134.0,617203.0,628008.0,635917.0,639798.0,648470.0,654790.0,663983.0,675618.0,679976.0,636018.0,378077.0,545909.0
"00000","United States *","82","      Other services (except government and government enterprises)",305971.0,308619.0,312521.0,315684.0,320959.0,324930.0,325832.0,328460.0,330548.0,329805.0,331078.0,330501.0,328955.0,328691.0,329973.0,333452.0,328185.0,326620.0,325056.0,326279.0,322777.0,326862.0,330775.0,331553.0,329819.0,332030.0,333837.0,336675.0,343336.0,346944.0,349638.0,352048.0,353080.0,353859.0,356382.0,361806.0,364956.0,373795.0,382213.0,385387.0,388257.0,392014.0,392221.0,393784.0,396891.0,398320.0,401001.0,403303.0,406904.0,410547.0,417348.0,422411.0,428494.0,435699.0,440286.0,447171.0,452867.0,458121.0,464367.0,469693.0,460231.0,371005.0,425422.0
"00000","United States *","83","  Government and government enterprises",1683519.0,1700161.0,1718958.0,1738442.0,1758930.0,1778749.0,1803273.0,1827041.0,1854450.0,1873873.0,1898249.0,1921687.0,1948177.0,1968570.0,1993905.0,2015776.0,2019848.0,2040150.0,2051803.0,2068412.0,2086819.0,2110815.0,2113781.0,2120443.0,2129323.0,2140526.0,2142447.0,2135947.0,2148689.0,2151041.0,2161028.0,2177200.0,2194425.0,2207474.0,2215057.0,2233077.0,2247429.0,2260708.0,2278639.0,2298704.0,2317958.0,2334419.0,2348157.0,2357235.0,2365597.0,2377156.0,2392420.0,2404411.0,2420669.0,2435474.0,2457135.0,2481657.0,2509084.0,2536443.0,2566291.0,2586892.0,2606420.0,2626044.0,2653111.0,2672324.0,2682180.0,2594639.0,2653638.0
"00000","United States *","84","    Federal civilian",301966.0,304071.0,305560.0,309351.0,314071.0,316756.0,319294.0,322171.0,325066.0,330053.0,335019.0,336610.0,338933.0,341545.0,344474.0,347056.0,351072.0,358313.0,360306.0,364609.0,372803.0,383649.0,381904.0,382493.0,385514.0,386817.0,386512.0,387873.0,387296.0,387541.0,387662.0,385369.0,384172.0,381774.0,375583.0,384755.0,390162.0,393979.0,398952.0,403542.0,408867.0,413449.0,417209.0,420522.0,423572.0,425809.0,430203.0,434684.0,440049.0,443684.0,448187.0,452300.0,457781.0,462226.0,465461.0,468024.0,470521.0,473408.0,477944.0,481795.0,487739.0,495365.0,506324.0
"00000","United States *","85","    Military",162931.0,165361.0,167696.0,170941.0,171941.0,173241.0,176353.0,177702.0,179386.0,182154.0,186252.0,188940.0,192284.0,196107.0,199895.0,203006.0,203994.0,205744.0,207358.0,209332.0,213644.0,213976.0,212632.0,213020.0,213535.0,214180.0,214554.0,215264.0,214849.0,214342.0,213759.0,211799.0,209776.0,209180.0,208552.0,208176.0,206893.0,206108.0,204912.0,203675.0,204776.0,204470.0,204265.0,203745.0,202182.0,201989.0,201703.0,201514.0,201203.0,201527.0,203004.0,204882.0,206482.0,208541.0,211156.0,212785.0,215186.0,217117.0,219259.0,220049.0,219862.0,224830.0,225835.0
"00000","United States *","86","    State and local",1139775.0,1152229.0,1165891.0,1178090.0,1190859.0,1206499.0,1224839.0,1243601.0,1264671.0,1276113.0,1290985.0,1308914.0,1328510.0,1340983.0,1357286.0,1370815.0,1369821.0,1379252.0,1384931.0,1392906.0,1399606.0,1410923.0,1414075.0,1417479.0,1420496.0,1428449.0,1428809.0,1421486.0,1433613.0,1436270.0,1446835.0,1465698.0,1487892.0,1503420.0,1516692.0,1526807.0,1536511.0,1547011.0,1561099.0,1577549.0,1591282.0,1605047.0,1614921.0,1621399.0,1627567.0,1636400.0,1646990.0,1654483.0,1665549.0,1676768.0,1692577.0,1710166.0,1729236.0,1749422.0,1772379.0,1788196.0,1800851.0,1816258.0,1836558.0,1850143.0,1853952.0,1756927.0,1803181.0
"00000","United States *","","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"00000","United States *","100","All industry total, overseas activity",78847.0,78500.0,79811.0,80060.0,82059.0,82252.0,82787.0,83567.0,85326.0,85553.0,85993.0,87224.0,88450.0,89936.0,92249.0,94900.0,94961.0,96841.0,99209.0,101566.0,100767.0,102268.0,105169.0,107451.0,109778.0,111079.0,112572.0,111324.0,112931.0,112888.0,112773.0,114334.0,112585.0,113101.0,114230.0,113340.0,113863.0,113611.0,113676.0,113938.0,113032.0,111452.0,111762.0,111569.0,112275.0,112959.0,113524.0,113731.0,113868.0,113495.0,113367.0,114308.0,115584.0,116255.0,117296.0,117888.0,119861.0,119260.0,119350.0,120338.0,120626.0,117517.0,118297.0
"00000","United States *","101","Government and government enterprises, overseas activity",78847.0,78500.0,79811.0,80060.0,82059.0,82252.0,82787.0,83567.0,85326.0,85553.0,85993.0,87224.0,88450.0,89936.0,92249.0,94900.0,94961.0,96841.0,99209.0,101566.0,100767.0,102268.0,105169.0,107451.0,109778.0,111079.0,112572.0,111324.0,112931.0,112888.0,112773.0,114334.0,112585.0,113101.0,114230.0,113340.0,113863.0,113611.0,113676.0,113938.0,113032.0,111452.0,111762.0,111569.0,112275.0,112959.0,113524.0,113731.0,113868.0,113495.0,113367.0,114308.0,115584.0,116255.0,117296.0,117888.0,119861.0,119260.0,119350.0,120338.0,120626.0,117517.0,118297.0
